Quanto tempo a lua demora para dar uma volta à Terra (aproximadamente)? ; 27 dias e 8 horas , 25 dias , 30 dias , 29 dias e 12 horas , 27 dias e 12 horas.
Qual foi o matemático e geógrafo que calculou o perímetro da Terra em 240 a.C.? ; Erastótenes , Sócrates , Pitágoras , Sófocles  , Arquimedes.
Qual é o país da América do Sul que mais produz vinho? ; Argentina , Chile , Brasil , Venezuela , Colômbia.
Qual o autor de 'A Arte da Guerra'? ; Sun Tzu , Confúcio , Gandhi , Mao Tsé Tung , Liu Song.
Qual o nome da mãe de Samuel? ; Ana , Maria , Rebeca , Joane , Isabel.
Quantos ossos tem um bebê recém-nascido? ; 276 , 206 , 230 , 300 , 321.
Quantos litros de sangue tem uma pessoa adulta? ; 4 a 6 litros , 10 litros , 7 litros , 2 a 4 litros , 0.5 litro.
Em qual país foi inventado o chuveiro elétrico? ; Brasil , Estados Unidos , França , Inglaterra , China.
Qual o livro mais vendido no mundo depois da Bíblia? ; Dom Quixote , 50 Tons de Cinza , Senhor dos Anéis , Harry Potter , O Pequeno Príncipe.
Quantos elementos tem a tabela periódica? ; 118 , 55 , 97 , 110 , 209.
Quanto mede um hectare? ; 10 mil quilômetros quadrados , 100 metros quadrados , 24.200 metros , 48.400 metros quadrados , 10 mil quilômetros.
Qual o feriado comemorado no dia 15 de novembro? ; Proclamação da República , Independência do Brasil , Dia de Finados , Dia da Consciência Negra , Dia da Bandeira.
Quem foi o pensador condenado pela Igreja por afirmar que o planeta Terra gira em torno do Sol? ; Galileu Galilei , Leonardo da Vinci , Nicolau Copérnico , Platão , Nicolau Maquiavel.
Quem foi o filósofo conhecido por afirmar que Deus está morto? ; Friedrich Nietzsche , Sigmund Freud , Michel Foucault , Jean-Paul Sartre , Jean-Martin Charcot.
Qual é a maior cidade de língua francesa do mundo? ; Kinshasa , Quèbec , Paris , Montréal , Beauce.
“O esquema funcionava através da superfaturação de obras que faziam parte de um programa que tinha como objetivo acelerar o crescimento econômico no País”. Essa descrição corresponde a uma operação criminosa no Brasil. Trata-se da: ; Operação Navalha , Operação Lava Jato , Operação Greenfield , Operação Panatenaico , Operação Carne Fraca.
Em que ano e onde aconteceu o maior acidente aéreo da história do Brasil? ; Ano 2007. em São Paulo , Ano 2006. no Mato Grosso , Ano 1982. no Ceará , Ano 1996. em São Paulo , Ano 1952. na Floresta Amazônica.
Duas das afirmações abaixo estão erradas: 1 - Intolerância religiosa é um crime de ódio. 2 - A intolerância religiosa não é crime no Brasil. 3 - A pena para crime de intolerância religiosa vai de 1 a 3 anos de prisão. 4 - Intolerância religiosa é cometer atos de vandalismo contra os templos de outras religiões. 5 - A liberdade de expressão garante o direito para dizer o que se quer sobre crenças ou religiões que não a nossa. ; 2 e 5 , 1 e 2 , 2 e 3 , 5 e 4 , 1 e 3.
Quais os quatros países que têm a maior população carcerária do mundo? ; Estados Unidos e China e Rússia e Brasil , Brasil e Estados Unidos e México e Índia , China e Estados Unidos e Índia e Indonésia , Rússia e Japão e Canadá e China , Brasil e Estados Unidos e China e Vaticano.
Qual foi a revolução que alavancou a independência do Brasil e em 2017 completou o segundo centenário? ; Revolução Pernambucana , Revolução Farroupilha , Revolução Federalista , Revolução Praieira , Revolução Acreana.
Qual a primeira mulher a ganhar um prêmio Nobel? ; Marie Curie , Madre Teresa de Calcutá , Elizabeth Blackweel , Irène Joliot-Curie , Valentina Tereshkova.
Chernobyl e Césio-137 fazem parte dos maiores acidentes nucleares da história. Em que países aconteceram? ; Ucrânia e Brasil , Rússia e Espanha , Estados Unidos e Ucrânia , Japão e Brasil , Taiwan e Alemanha.
Quem era o chefe da Luftwaffe na Alemanha Nazista? ;  Hermann Göring , Fedor von Bock , Gustaf Mannerheim , Erwin Rommel , Werner von Blomberg.
Quem foi eleito "príncipe dos poetas brasileiros", pela revista Fon-Fon em 1907? ; Olavo Bilac , José de Alenca , Aluísio Azevedo , Adolfo Caminha , Machado de Assis.
Qual foi a primeira esposa de Dom Pedro I, e portanto, mãe de Dom Pedro II? ; Maria Leopoldina da Áustria , Amélia de Leuchtenberg , Domitila de Castro do Canto e Melo , Teresa Cristina das Duas Sicílias , Ana Bolena.
